"consolidation","contest","candidate","type","votes"
"105000-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"105000-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",3
"105000-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",386
"105000-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"105000-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",416
"105000-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",13
"105010-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"105010-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",293
"105010-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",23
"105010-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"105010-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",6
"105010-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",278
"105020-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"105020-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",4
"105020-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",295
"105020-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"105020-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",366
"105020-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",27
"105040-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"105040-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",12
"105040-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",547
"105040-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"105040-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",580
"105040-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",26
"105100-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"105100-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",19
"105100-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",634
"105100-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"105100-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",593
"105100-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",47
"105160-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"105160-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",6
"105160-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",433
"105160-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"105160-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",333
"105160-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",31
"105390-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"105390-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",5
"105390-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",350
"105390-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"105390-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",346
"105390-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",24
"105410-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"105410-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",10
"105410-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",400
"105410-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",3
"105410-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",284
"105410-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",21
"105420-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"105420-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",21
"105420-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",735
"105420-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"105420-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",560
"105420-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",43
"105430-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"105430-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",14
"105430-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",417
"105430-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"105430-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",335
"105430-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",24
"105450-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"105450-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",7
"105450-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",483
"105450-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"105450-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",483
"105450-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",20
"105700-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"105700-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",13
"105700-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",518
"105700-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"105700-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",484
"105700-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",52
"105910-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"105910-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",8
"105910-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",269
"105910-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"105910-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",350
"105910-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",32
"106050-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"106050-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",12
"106050-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",579
"106050-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"106050-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",435
"106050-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",56
"106100-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"106100-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",21
"106100-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",685
"106100-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"106100-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",568
"106100-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",42
"106200-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"106200-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",4
"106200-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",360
"106200-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",5
"106200-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",360
"106200-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",14
"106340-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"106340-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",23
"106340-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",513
"106340-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"106340-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",347
"106340-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",38
"106350-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"106350-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",15
"106350-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",309
"106350-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"106350-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",264
"106350-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",43
"106360-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"106360-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",8
"106360-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",676
"106360-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"106360-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",424
"106360-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",64
"106400-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"106400-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",12
"106400-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",502
"106400-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"106400-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",344
"106400-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",56
"106440-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"106440-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",18
"106440-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",617
"106440-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"106440-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",524
"106440-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",37
"106490-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"106490-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",17
"106490-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",463
"106490-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
